concept,amount,date,category,mode
groceries,22.65,05/23/19,food,credit
pharmacy,10.37,05/24/19,healthcare,credit
groceries,44.55,05/24/19,food,credit
groceries,32.07,05/25/19,food,credit
groceries,62.65,05/25/19,food,credit
doctor appt,16.5,05/28/19,healthcare,credit
tolls,25,05/29/19,transportation,credit
trip expenses,389.62,05/29/19,vacations,credit
rent,1659.95,06/03/19,housing,debit
internet,44.95,06/03/19,utilities,credit
home insurance,16.50,06/03/19,insurance,debit
cell phone,45.67,06/03/19,utilities,credit
life insurance,69.78,06/03/19,insurance,debit
life insurance,95,06/03/19,insurance,debit
groceries,77.51,06/24/19,food,credit
retailer,31.46,06/30/19,personal,credit
rent,1659.95,07/03/19,housing,debit
public transit,8.41,07/01/19,transportation,credit
internet,44.95,07/03/19,utilities,credit
home insurance,16.50,07/03/19,insurance,debit
cell phone,45.67,07/03/19,utilities,credit
life insurance,69.78,07/03/19,insurance,debit
life insurance,95,07/03/19,insurance,debit
public transit,20,07/01/19,transportation,credit
trip expenses,8,07/01/19,vacations,credit
retailer,6.93,07/03/19,gifts,credit
car insurance,305.87,07/09/19,insurance,credit
trip expenses,6.93,07/09/19,vacations,credit
rent,1659.95,08/03/19,housing,debit
internet,44.95,08/03/19,utilities,credit
home insurance,16.50,08/03/19,insurance,debit
cell phone,45.67,08/03/19,utilities,credit
life insurance,69.78,08/03/19,insurance,debit
life insurance,95,08/03/19,insurance,debit
doctor appt,107,08/22/19,healthcare,credit
retailer,45.56,08/24/19,personal,credit
retailer,5.9,08/27/19,personal,credit
rent,1659.95,09/03/19,housing,debit
internet,44.95,09/03/19,utilities,credit
home insurance,16.50,09/03/19,insurance,debit
cell phone,45.67,09/03/19,utilities,credit
life insurance,69.78,09/03/19,insurance,debit
life insurance,95,09/03/19,insurance,debit
retailer,172.62,09/05/19,personal,credit
restaurant,28.9,09/07/19,food,credit
doctor appt,125,09/12/19,healthcare,credit
fitness,575,09/19/19,healthcare,credit
rent,1659.95,10/02/19,housing,debit
internet,44.95,10/06/19,utilities,credit
home insurance,16.50,10/09/19,insurance,debit
cell phone,48.26,10/02/19,utilities,credit
life insurance,69.78,10/11/19,insurance,debit
life insurance,95,10/11/19,insurance,debit
energy,5.09,10/11/19,utilities,debit
groceries,65.19,10/01/19,food,credit
groceries,17.19,10/02/19,food,credit
public transit,20,10/04/19,transportation,credit
groceries,110.32,10/05/19,food,credit
groceries,69.12,10/10/19,food,credit
mail,19.95,10/10/19,transportation,credit
doctor appt,360.5,10/11/19,healthcare,credit
groceries,48.5,10/12/19,food,credit
gas station,42,10/12/19,transportation,credit
groceries,347.88,10/12/19,housing,credit
doctor appt,102.61,10/15/19,healthcare,credit
groceries,48.12,10/16/19,food,credit
car maintenance,202.5,10/18/19,transportation,credit
restaurant,73,10/18/19,recreation,credit
groceries,9.17,10/18/19,food,credit
groceries,183.08,10/19/19,food,credit
retailer,28.22,10/21/19,personal,credit
groceries,26.51,10/21/19,food,credit
public transit,25,10/22/19,transportation,credit
groceries,38.9,10/22/19,food,credit
parking,3,10/22/19,transportation,credit
parking,4.3,10/23/19,transportation,credit
parking,4.3,10/25/19,transportation,credit
retailer,25,10/23/19,personal,credit
groceries,78.71,10/25/19,food,credit
groceries,4.99,10/26/19,food,credit
public transit,20,10/31/19,transportation,credit
rent,1659.95,11/02/19,housing,debit
internet,44.95,11/06/19,utilities,credit
home insurance,16.50,11/09/19,insurance,debit
cell phone,48.26,11/02/19,utilities,credit
life insurance,69.78,11/13/19,insurance,debit
life insurance,95,11/18/19,insurance,debit
energy,42.73,11/12/19,utilities,debit
groceries,48.27,11/02/19,food,credit
groceries,58.38,11/02/19,food,credit
groceries,11.96,11/09/19,food,credit
groceries,26.27,11/09/19,food,credit
entertainment,276,11/09/19,recreation,credit
groceries,125.83,11/11/19,food,credit
groceries,14.29,11/11/19,food,credit
groceries,61.83,11/15/19,food,credit
retailer,38.22,11/17/19,personal,credit
entertainment,26,11/17/19,recreation,credit
groceries,86.45,11/17/19,food,credit
public transit,20,11/18/19,transportation,credit
public transit,20,11/18/19,transportation,credit
doctor appt,443,11/18/19,healthcare,credit
groceries,77.29,11/19/19,food,credit
restaurant,12.8,11/19/19,food,credit
retailer,9.31,11/19/19,food,credit
groceries,10.28,11/19/19,food,credit
restaurant,7,11/19/19,recreation,credit
restaurant,11.4,11/21/19,recreation,credit
retailer,85.22,11/21/19,personal,credit
restaurant,7.1,11/22/19,recreation,credit
restaurant,5.37,11/23/19,recreation,credit
parking,4.3,11/25/19,transportation,credit
pharmacy,22.61,11/25/19,healthcare,credit
doctor appt,107,11/26/19,healthcare,credit
restaurant,7.76,11/27/19,recreation,credit
restaurant,60.26,11/29/19,recreation,credit
public transit,20,11/30/19,transportation,credit
parking,2,11/30/19,transportation,credit
restaurant,4.25,11/30/19,recreation,credit
rent,1659.95,12/02/19,housing,debit
internet,44.95,12/05/19,utilities,credit
home insurance,16.50,12/09/19,insurance,debit
cell phone,48.26,12/02/19,utilities,credit
life insurance,69.78,12/13/19,insurance,debit
life insurance,95,12/18/19,insurance,debit
energy,37.24,12/12/19,utilities,debit
restaurant,20,12/01/19,recreation,credit
restaurant,55.68,12/02/19,recreation,credit
groceries,111.94,12/02/19,food,credit
retailer,28,12/02/19,personal,credit
restaurant,13.82,12/03/19,recreation,credit
restaurant,5.5,12/04/19,recreation,credit
trip expenses,39.64,12/04/19,vacations,credit
groceries,249.15,12/07/19,housing,credit
restaurant,20,12/07/19,recreation,credit
public transit,15.2,12/07/19,transportation,credit
groceries,104.09,12/08/19,food,credit
groceries,6.77,12/09/19,food,credit
restaurant,8.5,12/10/19,recreation,credit
groceries,29.5,12/14/19,food,credit
restaurant,20.56,12/15/19,recreation,credit
retailer,42.05,12/15/19,personal,credit
restaurant,217.42,12/15/19,recreation,credit
restaurant,6.08,12/15/19,recreation,credit
rent,1699.95,01/03/20,housing,debit
internet,44.95,01/05/20,utilities,credit
home insurance,16.75,01/08/20,insurance,debit
cell phone,48.26,01/02/20,utilities,credit
life insurance,69.78,01/13/20,insurance,debit
life insurance,95,01/18/20,insurance,debit
energy,48.76,01/09/20,utilities,debit
car insurance,412.78,01/10/20,transportation,credit
restaurant,19.35,01/19/20,recreation,credit
retailer,39,01/19/20,personal,credit
groceries,26.16,01/20/20,food,credit
groceries,41.05,01/24/20,food,credit
doctor appt,59,01/24/20,healthcare,credit
groceries,73.15,01/26/20,food,credit
public transit,153.95,01/26/20,transportation,credit
groceries,26.5,01/27/20,food,credit
groceries,12.06,01/29/20,food,credit
restaurant,12.02,01/29/20,recreation,credit
restaurant,13.82,01/31/20,recreation,credit
rent,1699.95,02/04/20,housing,debit
internet,44.95,02/05/20,utilities,credit
home insurance,16.75,02/07/20,insurance,debit
cell phone,85.05,02/13/19,utilities,credit
life insurance,69.78,02/13/20,insurance,debit
life insurance,95,02/18/20,insurance,debit
energy,54.38,02/10/20,utilities,debit
groceries,199.78,02/01/20,food,credit
groceries,33.09,02/01/20,food,credit
groceries,11.37,02/02/20,food,credit
groceries,48.85,02/04/20,food,credit
restaurant,80,02/04/20,recreation,credit
services,42,02/04/20,personal,credit
mail,15,02/06/20,personal,credit
restaurant,24.21,02/06/20,recreation,credit
groceries,19.17,02/07/20,food,credit
groceries,59.12,02/08/20,food,credit
restaurant,17.74,02/09/20,recreation,credit
entertainment,30,02/09/20,recreation,credit
restaurant,28.95,02/09/20,recreation,credit
cash withdrawal,100,02/10/20,housing,debit
groceries,47.21,02/11/20,food,credit
farmers market,210,02/12/20,food,credit
restaurant,89,02/13/20,recreation,credit
groceries,65.2,02/14/20,food,credit
cash transfer,195,02/14/20,housing,debit
restaurant,17.51,02/14/20,recreation,credit
groceries,24.88,02/15/20,food,credit
groceries,174.24,02/16/20,food,credit
cash transfer,33.23,02/16/20,personal,debit
restaurant,15.7,02/17/20,recreation,credit
groceries,9.28,02/18/20,food,credit
groceries,41.29,02/19/20,food,credit
parking,4,02/19/20,transportation,credit
restaurant,72.53,02/19/20,recreation,credit
restaurant,38.78,02/19/20,recreation,credit
groceries,89.08,02/21/20,food,credit
restaurant,8,02/21/20,recreation,credit
trip expenses,218.23,02/24/20,vacations,credit
rent,1678.95,03/04/20,housing,debit
internet,44.95,03/05/20,utilities,credit
home insurance,16.75,02/07/20,insurance,debit
cell phone,50.3,03/13/19,utilities,credit
life insurance,69.78,03/11/20,insurance,debit
life insurance,95,03/18/20,insurance,debit
gas station,35.57,03/01/20,transportation,credit
restaurant,9.91,03/02/20,recreation,credit
groceries,67.71,03/02/20,food,credit
parking,3,03/03/20,transportation,credit
groceries,103.71,03/07/20,food,credit
groceries,71.54,03/11/20,food,credit
trip expenses,849,03/14/20,personal,credit
groceries,55.53,03/14/20,food,credit
cash transfer,200,03/15/20,personal,debit
gas station,33.96,03/15/20,transportation,credit
groceries,71.68,03/16/20,food,credit
farmers market,6,03/17/20,food,credit
groceries,49.24,03/17/20,food,credit
home insurance,12.34,03/17/20,food,credit
services,37.78,03/19/20,transportation,credit
restaurant,8,03/24/20,food,credit
retailer,13.17,03/25/20,healthcare,credit
groceries,178.13,03/29/20,food,credit
restaurant,70.39,03/29/20,food,credit
farmers market,6.25,03/31/20,food,credit
farmers market,114,03/31/20,food,credit
rent,1678.95,04/04/20,housing,debit
internet,44.95,04/05/20,utilities,credit
home insurance,16.75,02/07/20,insurance,debit
cell phone,52.16,04/13/19,utilities,credit
life insurance,69.78,04/13/20,insurance,debit
life insurance,95,04/10/20,insurance,debit
energy,81.51,04/10/20,utilities,credit
groceries,2.59,04/01/20,food,credit
retailer,21.04,04/03/20,housing,credit
groceries,81.14,04/05/20,food,credit
groceries,38.23,04/06/20,housing,credit
groceries,52.42,04/06/20,housing,credit
farmers market,16,04/07/20,food,credit
farmers market,5,04/07/20,food,credit
farmers market,9,04/07/20,food,credit
farmers market,9,04/07/20,food,credit
retailer,7.09,04/14/20,personal,credit
farmers market,19,04/14/20,food,credit
farmers market,24,04/14/20,food,credit
farmers market,18,04/14/20,food,credit
retailer,14.48,04/14/20,personal,credit
groceries,23.92,04/14/20,food,credit
groceries,13.87,04/14/20,food,credit
retailer,231.66,04/16/20,gifts,credit
groceries,28.94,04/16/20,food,credit
groceries,216.11,04/20/20,food,credit
groceries,63.15,04/21/20,food,credit
groceries,14.67,04/24/20,food,credit
mail,7.75,04/24/20,housing,credit
farmers market,23,04/28/20,food,credit
farmers market,8,04/28/20,food,credit
farmers market,10.4,04/28/20,food,credit
groceries,8.98,04/28/20,food,credit
restaurant,92.31,04/30/20,gifts,credit
rent,1609.95,05/04/20,housing,debit
internet,44.95,05/05/20,utilities,credit
cell phone,45.34,05/13/19,utilities,credit
life insurance,69.78,05/13/20,insurance,debit
life insurance,95,05/10/20,insurance,debit
energy,33.95,05/12/20,utilities,debit
cash transfer,130,05/01/20,housing,debit
retailer,93.93,05/01/20,housing,credit
groceries,222.79,05/02/20,food,credit
groceries,4.54,05/02/20,food,credit
restaurant,71.34,05/03/20,recreation,credit
groceries,11.17,05/04/20,food,credit
farmers market,12,05/05/20,food,credit
groceries,175.5,05/06/20,food,credit
retailer,5.99,05/07/20,housing,credit
cash transfer,34,05/09/20,personal,debit
groceries,9.97,05/09/20,food,credit
cash transfer,37.7,05/09/20,personal,debit
farmers market,30.25,05/12/20,food,credit
groceries,180.4,05/16/20,food,credit
restaurant,8.74,05/17/20,recreation,credit
farmers market,56,05/17/20,food,credit
restaurant,48.47,05/18/20,recreation,credit
farmers market,6,05/19/20,food,credit
farmers market,11,05/19/20,food,credit
farmers market,5.15,05/19/20,food,credit
groceries,215.5,05/25/20,food,credit
retailer,7.02,05/23/20,personal,credit
farmers market,9,05/26/20,food,credit
restaurant,15.3,05/27/20,recreation,credit
retailer,37.13,05/30/20,personal,credit
groceries,9,05/30/20,food,credit
rent,1694.95,06/04/20,housing,debit
internet,44.95,06/05/20,utilities,credit
cell phone,52.13,06/13/19,utilities,credit
life insurance,69.78,06/13/20,insurance,debit
life insurance,95,06/10/20,insurance,debit
energy,51.5,06/11/20,utilities,credit
cash transfer,140,06/01/20,housing,debit
restaurant,92.72,06/01/20,recreation,credit
farmers market,25.75,06/02/20,food,credit
farmers market,10,06/02/20,food,credit
groceries,7.73,06/05/20,food,credit
restaurant,16.95,06/06/20,recreation,credit
retailer,37.1,06/07/20,food,credit
groceries,120.09,06/10/20,food,credit
groceries,4.49,06/05/20,food,credit
cash withdrawal,84,06/08/20,food,debit
groceries,88.9,06/10/20,food,credit
retailer,12.77,06/10/20,personal,credit
restaurant,9.7,06/12/20,recreation,credit
car registration,40,06/13/20,transportation,credit
groceries,9.38,06/16/20,food,credit
farmers market,6,06/16/20,food,credit
groceries,66.4,06/17/20,food,credit
home insurance,12.34,06/18/20,insurance,debit
restaurant,46.2,06/20/20,gifts,credit
retailer,159.97,06/21/20,personal,credit
retailer,103.02,06/22/20,housing,credit
groceries,145.48,06/22/20,food,credit
farmers market,7.6,06/23/20,food,credit
farmers market,24,06/23/20,food,credit
groceries,6.74,06/24/20,food,credit
groceries,14.99,06/26/20,food,credit
cash transfer,211,06/26/20,gifts,debit
trip expenses,1277,06/30/20,vacations,credit
rent,1694.95,07/04/20,housing,debit
internet,44.95,07/05/20,insurance,credit
cell phone,53.7,07/13/19,utilities,credit
life insurance,69.78,07/13/20,insurance,debit
life insurance,95,07/10/20,insurance,debit
energy,29.71,07/11/20,utilities,debit
cash transfer,140,07/13/20,housing,debit
retailer,6.54,07/01/20,healthcare,credit
car insurance,340.2,07/09/20,transportation,credit
groceries,9.17,07/02/20,food,credit
retailer,119.08,07/07/20,personal,credit
groceries,132.67,07/09/20,food,credit
car maintenance,500,07/10/20,transportation,credit
groceries,33.53,07/13/20,food,credit
parking,0.25,07/14/20,transportation,credit
retailer,11.72,07/15/20,healthcare,credit
restaurant,59.54,07/15/20,recreation,credit
groceries,16.54,07/15/20,food,credit
groceries,15.37,07/18/20,food,credit
home insurance,12.34,07/18/20,food,debit
restaurant,93.95,07/19/20,recreation,credit
farmers market,30.26,07/20/20,food,credit
farmers market,23,07/21/20,food,credit
groceries,208.47,07/21/20,food,credit
retailer,58.35,07/22/20,personal,credit
retailer,5.69,07/24/20,housing,credit
retailer,62.98,07/27/20,gifts,credit
retailer,28.51,07/27/20,personal,credit
groceries,139.26,07/28/20,food,credit
groceries,14.97,07/30/20,food,credit
mail,92.66,07/31/20,gifts,credit
retailer,12.07,07/31/20,personal,credit
rent,1694.95,08/03/20,housing,debit
internet,44.95,08/05/20,utilities,credit
cell phone,53.14,08/13/19,utilities,credit
life insurance,69.78,08/13/20,insurance,debit
life insurance,95,08/10/20,insurance,debit
energy,12.26,08/11/20,utilities,debit
cash transfer,140,08/13/20,housing,debit
retailer,89,08/01/20,gifts,credit
groceries,26.45,08/01/20,food,credit
groceries,195.1,08/03/20,food,credit
groceries,33.17,08/05/20,food,credit
retailer,32.73,08/05/20,housing,credit
restaurant,9.7,08/07/20,recreation,credit
restaurant,26.45,08/08/20,recreation,credit
restaurant,15.77,08/08/20,recreation,credit
groceries,106.87,08/10/20,food,credit
farmers market,10,08/11/20,food,credit
restaurant,53.86,08/11/20,recreation,credit
retailer,54.61,08/11/20,recreation,credit
retailer,5.39,08/12/20,healthcare,credit
groceries,17.37,08/12/20,food,credit
retailer,39.3,08/12/20,personal,credit
retailer,109.25,08/13/20,personal,credit
restaurant,6,08/13/20,food,credit
parking permit,66,08/12/20,transportation,credit
restaurant,9.7,08/14/20,recreation,credit
retailer,23.76,08/14/20,housing,credit
groceries,3.5,08/14/20,food,credit
groceries,68.58,08/15/20,recreation,credit
retailer,26.46,08/15/20,housing,credit
retailer,16.38,08/15/20,housing,credit
retailer,41.14,08/16/20,housing,credit
groceries,7.84,08/16/20,food,credit
retailer,32.78,08/17/20,personal,credit
home insurance,12.34,08/18/20,insurance,credit
farmers market,2.75,08/18/20,food,credit
restaurant,50.08,08/20/20,recreation,credit
retailer,151.32,08/21/20,housing,credit
groceries,118.68,08/22/20,food,credit
restaurant,12.75,08/22/20,recreation,credit
retailer,180.24,08/22/20,housing,credit
restaurant,26.31,08/23/20,recreation,credit
restaurant,211.22,08/25/20,recreation,credit
cash transfer,10,08/27/20,personal,debit
groceries,5.99,08/28/20,food,credit
groceries,85.19,08/29/20,food,credit
groceries,258.32,08/30/20,food,credit
retailer,7.09,08/31/20,personal,credit
rent,1694.95,09/03/20,housing,debit
internet,44.95,09/05/20,utilities,credit
cell phone,54.49,09/13/19,utilities,credit
life insurance,69.78,09/13/20,insurance,debit
life insurance,95,09/10/20,insurance,debit
energy,65,09/02/20,utilities,credit
cash transfer,140,08/23/20,housing,debit
groceries,258.32,08/30/20,food,credit
parking,10,09/01/20,transportation,credit
retailer,141.99,09/02/20,personal,credit
restaurant,31.46,09/02/20,recreation,credit
farmers market,441.83,08/31/20,food,credit
groceries,11.38,09/05/20,food,credit
groceries,28.35,09/06/20,food,credit
restaurant,41.49,09/06/20,food,credit
farmers market,12.26,09/08/20,food,credit
parking,5,09/08/20,transportation,credit
parking,5,09/08/20,transportation,credit
groceries,174.2,09/10/20,food,credit
cash transfer,50.43,09/10/20,housing,debit
cash transfer,85,09/15/20,gifts,debit
home insurance,12.34,09/18/20,insurance,credit
retailer,87.5,09/21/20,personal,credit
groceries,162.86,09/22/20,food,credit
restaurant,8,09/23/20,recreation,credit
cash transfer,42.05,09/23/20,gifts,debit
restaurant,15.44,09/23/20,recreation,credit
subscription,10,09/24/20,personal,credit
restaurant,83.66,09/26/20,recreation,credit
retailer,57.46,09/27/20,personal,credit
groceries,140.33,09/28/20,food,credit
rent,1694.95,10/03/20,housing,debit
internet,44.95,10/05/20,utilities,credit
cell phone,54.18,10/13/19,utilities,credit
life insurance,69.78,10/13/20,insurance,debit
life insurance,95,10/10/20,insurance,debit
energy,44.89,10/01/20,utilities,credit
cash transfer,140,10/10/20,housing,debit
retailer,199.15,10/01/20,housing,credit
retailer,81.21,10/02/20,housing,credit
subscription,24.99,10/03/20,healthcare,credit
streaming,9.99,10/03/20,personal,credit
groceries,193.69,10/05/20,food,credit
groceries,12,10/06/20,food,credit
doctor appt,101,10/06/20,healthcare,credit
parking,5,10/07/20,transportation,credit
parking,20,10/08/20,transportation,credit
restaurant,95.95,10/09/20,gifts,credit
restaurant,85.33,10/09/20,gifts,credit
gas station,36.4,10/09/20,transportation,credit
subscription,84.48,10/09/20,personal,credit
subscription,63.96,10/09/20,personal,credit
retailer,82.62,10/12/20,food,credit
groceries,47.98,10/16/20,food,credit
public transit,19.15,10/18/20,transportation,credit
trip expenses,1487,10/18/20,vacations,credit
farmers market,6.8,10/20/20,food,credit
groceries,12,10/20/20,food,credit
retailer,41.49,10/21/20,recreation,credit
restaurant,35.65,10/22/20,recreation,credit
groceries,10.37,10/26/20,food,credit
groceries,17.9,10/27/20,food,credit
parking,4,10/27/20,transportation,credit
retailer,5.35,10/27/20,personal,credit
groceries,8,10/27/20,personal,credit
trip expenses,387.83,10/29/20,vacations,credit
retailer,186.79,10/30/20,gifts,credit
rent,1694.95,11/03/20,housing,debit
internet,44.95,11/04/20,utilities,credit
cell phone,50.01,11/13/19,utilities,credit
life insurance,69.78,11/13/20,insurance,debit
life insurance,95,11/10/20,insurance,debit
home insurance,12.34,11/19/20,insurance,credit
energy,53.89,11/27/20,utilities,credit
gas station,22.9,11/01/20,transportation,credit
retailer,59.01,11/02/20,personal,credit
parking,10,11/03/20,transportation,credit
groceries,3.82,11/04/20,food,credit
groceries,11.56,11/07/20,food,credit
retailer,166.11,11/07/20,personal,credit
groceries,50.41,11/09/20,food,credit
groceries,73.99,11/09/20,food,credit
cash withdrawal,365.37,11/13/20,personal,debit
retailer,6857,11/14/20,housing,credit
retailer,424.93,11/25/20,utilities,credit
rent,1694.95,12/03/20,housing,debit
internet,44.95,12/04/20,utilities,credit
cell phone,89.19,12/13/19,utilities,credit
life insurance,69.78,12/13/20,insurance,debit
life insurance,95,12/10/20,insurance,debit
home insurance,12.34,12/19/20,insurance,credit
subscription,24.99,12/03/20,healthcare,credit
streaming,9.99,12/03/20,housing,credit
restaurant,3.66,12/03/20,recreation,credit
restaurant,1.77,12/03/20,recreation,credit
retailer,9.53,12/05/20,personal,credit
entertainment,34.86,12/08/20,recreation,credit
groceries,88.56,12/08/20,food,credit
restaurant,11.75,12/12/20,recreation,credit
retailer,193.04,12/10/20,housing,credit
groceries,251.92,12/20/20,food,credit
groceries,892.8,12/23/20,gifts,credit
retailer,155.81,12/29/20,housing,credit
energy,103.79,12/29/20,utilities,debit
groceries,87.7,12/30/20,food,credit
rent,1694.95,01/01/21,housing,debit
internet,44.95,01/04/21,utilities,credit
cell phone,279.16,01/13/21,utilities,credit
life insurance,69.78,01/13/21,insurance,debit
life insurance,95,01/10/21,insurance,debit
home insurance,12.34,01/19/21,insurance,credit
energy,119,01/28/21,utilities,credit
streaming,9.99,01/03/21,housing,credit
subscription,24.99,01/03/21,healthcare,credit
car insurance,400,01/04/21,insurance,credit
tolls,25,01/02/21,transportation,credit
restaurant,27.09,01/04/21,recreation,credit
retailer,70.5,01/07/21,personal,credit
trip expenses,69.56,01/08/21,vacations,credit
trip expenses,69.56,01/08/21,vacations,credit
retailer,19.99,01/08/21,personal,credit
restaurant,35.74,01/09/21,recreation,credit
cash withdrawal,319.72,01/11/21,healthcare,debit
restaurant,19.18,01/12/21,recreation,credit
